2013-01-12 22:30:49.032953 HTTP/1.0 192.168.0.200:40341 -> 87.98.246.8:80 pic.leech.it:80 GET /i/f166c/479246b0asttas.jpg
2013-01-12 22:31:19.244125 HTTP/1.0 192.168.0.200:40630 -> 216.137.63.121:80 ecx.images-amazon.com:80 GET /images/I/41oZ1XsiOAL.
2013-01-12 22:31:50.359908 HTTP/1.0 192.168.0.200:55528 -> 159.148.96.184:80 images4.byinter.net:80 GET /DSC442566.gif
2013-01-13 02:54:46.028958 HTTP/1.1 192.168.0.200:49821 -> 91.189.92.190:80 security.ubuntu.com GET /ubuntu/dists/oneiric-security/InRelease
2013-01-13 02:54:46.032578 HTTP/1.1 192.168.0.200:59019 -> 91.189.88.33:80 extras.ubuntu.com GET /ubuntu/dists/oneiric/InRelease
2013-01-13 02:54:46.056291 HTTP/1.1 192.168.0.200:49821 -> 91.189.92.190:80 security.ubuntu.com GET /ubuntu/dists/oneiric-security/Release.gpg
2013-01-13 02:54:46.062554 HTTP/1.1 192.168.0.200:59019 -> 91.189.88.33:80 extras.ubuntu.com GET /ubuntu/dists/oneiric/Release.gpg
2013-01-13 02:54:46.082239 HTTP/1.1 192.168.0.200:49821 -> 91.189.92.190:80 security.ubuntu.com GET /ubuntu/dists/oneiric-security/Release
2013-01-13 02:54:46.094457 HTTP/1.1 192.168.0.200:59019 -> 91.189.88.33:80 extras.ubuntu.com GET /ubuntu/dists/oneiric/Release
2013-01-13 02:54:46.102039 HTTP/1.1 192.168.0.200:47110 -> 91.189.91.15:80 us.archive.ubuntu.com GET /ubuntu/dists/oneiric/InRelease
2013-01-13 02:54:46.142106 HTTP/1.1 192.168.0.200:49821 -> 91.189.92.190:80 security.ubuntu.com GET /ubuntu/dists/oneiric-security/main/source/Sources.bz2
2013-01-13 02:54:46.146533 HTTP/1.1 192.168.0.200:59019 -> 91.189.88.33:80 extras.ubuntu.com GET /ubuntu/dists/oneiric/main/source/Sources.bz2
2013-01-13 02:54:46.170058 HTTP/1.1 192.168.0.200:49821 -> 91.189.92.190:80 security.ubuntu.com GET /ubuntu/dists/oneiric-security/restricted/source/Sources.bz2
2013-01-13 02:54:46.176724 HTTP/1.1 192.168.0.200:59019 -> 91.189.88.33:80 extras.ubuntu.com GET /ubuntu/dists/oneiric/main/binary-i386/Packages.bz2
2013-01-13 02:54:46.207856 HTTP/1.1 192.168.0.200:47110 -> 91.189.91.15:80 us.archive.ubuntu.com GET /ubuntu/dists/oneiric/Release.gpg
2013-01-13 02:54:46.209010 HTTP/1.1 192.168.0.200:59019 -> 91.189.88.33:80 extras.ubuntu.com GET /ubuntu/dists/oneiric/main/i18n/Translation-en_US.bz2
